,cvegeo,pob
928,16012,45538
929,16013,9176
930,16021,13539
931,16020,29910
932,15027,12772
933,15018,68489
934,15009,53441
935,15031,705193
936,15043,30687
937,15095,103696
938,16074,10553
939,16090,16325
940,16002,14754
941,16003,23000
942,16004,14943
943,16005,10892
944,16006,126191
945,16007,3529
946,16008,24676
947,16009,36268
948,16096,5971
949,16097,29056
950,16106,32303
951,16107,76829
952,16108,204860
953,16109,3232
954,16110,49005
955,16010,20332
956,16011,11681
957,16098,25757
958,16031,16112
959,16032,15715
960,16054,7983
961,16030,11850
962,16029,12342
963,16023,10417
964,16066,98382
965,16068,29389
966,16069,106490
967,16070,15503
968,16071,69260
969,16073,27176
970,16091,14934
971,16113,26213
972,16112,157056
973,16085,35256
974,16088,114513
975,17036,7855
976,17021,7617
977,17035,27805
978,17025,33789
979,17001,17598
980,17020,54987
981,17019,28122
982,17034,11347
983,19029,7026
984,19048,306322
985,19044,34709
986,19042,5389
987,19023,1808
988,19022,14109
989,17027,12750
990,17030,56083
991,17023,7943
992,17017,40018
993,17015,15802
994,17013,16694
995,17011,215357
996,17010,18402
997,17018,122263
998,17029,105780
999,17012,57682
1000,17024,52399
1001,17007,378476
1002,17005,10520
1003,17004,89834
1004,17014,9653
1005,17032,9965
1006,17033,16574
1007,18001,37232
1008,18009,47550
1009,18010,33567
1010,18011,24096
1011,18017,425924
1012,18018,30064
1013,18019,13719
1014,18004,77436
1015,18013,7683
1016,18008,65229
1017,18005,12230
1018,18006,29299
1019,18007,19321
1020,18014,24911
1021,18015,93981
1022,18016,37135
1023,18003,11536
1024,18012,41518
1025,18020,187632
1026,18002,15393
1027,19039,1142994
1028,19046,412199
1029,19019,132169
1030,19047,16086
1031,19049,46784
1032,19009,122337
1033,19032,5351
1034,19031,471523
1035,19027,1959
1036,19020,5506
1037,19041,147624
1038,19040,906
1039,19010,104478
1040,19021,481213
1041,19012,68747
1042,19002,3382
1043,19005,18030
1044,19007,14992
1045,19018,397205
1046,19051,3573
1047,19006,656464
1048,19011,7340
1049,19001,2974
1050,19017,40903
1051,19016,3256
1052,19050,1552
1053,19035,1483
1054,19028,1386
1055,19033,84666
1056,20508,1618
1057,20205,16989
1058,20271,3194
1059,20329,1153
1060,20330,4296
1061,20246,611
1062,20277,12350
1063,19036,7652
1064,20227,18339
1065,20261,6932
1066,20510,760
1067,19043,2377
1068,19014,36088
1069,19038,67428
1070,20371,986
1071,20424,3793
1072,20406,21469
1073,20410,3418
1074,20435,3576
1075,20417,9682
1076,19008,3661
1077,19013,9930
1078,19045,86766
1079,20552,410
1080,20262,991
1081,20266,8551
1082,20422,603
1083,20439,25347
1084,19030,3298
1085,20125,11662
1086,20481,1898
1087,20517,6029
1088,20524,327
1089,20542,887
1090,20237,1568
1091,20450,13855
1092,20489,4909
1093,20544,1032
1094,20558,1376
1095,20490,2974
1096,20511,3335
1097,20545,10099
1098,20546,6392
1099,20547,1005
1100,20170,3700
1101,20230,932
1102,20168,938
1103,20184,159452
1104,20185,8939
1105,20404,761
1106,20407,9578
1107,20186,524
1108,20214,2033
1109,20220,2692
1110,20550,5764
1111,20253,2021
1112,20254,3207
1113,20272,6252
1114,20273,3818
1115,20275,7286
1116,20561,2954
1117,20551,30254
1118,20357,848
1119,20502,5089
1120,20553,12067
1121,20265,6711
1122,20493,545
1123,20318,49780
1124,20327,15479
1125,20554,5904
1126,20555,3419
1127,20556,306
1128,20018,752
1129,20036,5256
1130,20338,10361
1131,20344,2809
1132,20366,3676
1133,20377,10860
1134,20451,1019
1135,20005,15261
1136,20563,1245
1137,20497,4233
1138,20549,11465
1139,20564,1195
1140,20565,46464
1141,20099,381
1142,20491,4930
1143,20031,7185
1144,20279,2932
1145,20401,27046
1146,20379,2951
1147,20499,1922
1148,20494,6300
1149,20059,50375
1150,20177,10365
1151,20359,637
1152,20058,12722
1153,20567,3382
1154,20057,38183
1155,20075,2660
1156,20504,1590
1157,20501,998
1158,20537,6710
1159,20543,6386
1160,20548,1960
1161,20505,7681
1162,20251,1217
1163,20459,4877
1164,20477,1327
1165,20484,4458
1166,20485,3134
1167,20492,2764
1168,20495,3029
1169,20534,3512
1170,20463,525
1171,20467,19112
1172,20559,23067
1173,20169,4251
1174,20117,2213
1175,20514,941
1176,20512,1101
1177,20518,113
1178,20440,812
1179,20568,1695
1180,20521,250
1181,20001,841
1182,20256,229
1183,20003,2547
1184,20263,3184
1185,20004,1107
1186,20007,2395
1187,20267,245
1188,20011,1402
1189,20027,2179
1190,20030,8730
1191,20519,3386
1192,20034,1288
1193,20035,657
1194,20051,4764
1195,20013,3043
1196,20460,5242
1197,20044,40934
1198,20017,3607
1199,20507,3155
1200,20049,1184
1201,20520,7393
1202,20019,2754
1203,20022,803
1204,20024,3644
1205,20025,11356
1206,20026,9035
1207,20029,4215
1208,20032,1077
1209,20515,67739
1210,20516,5260
1211,20536,449
1212,20033,2929
1213,20050,3750
1214,20047,81
1215,20523,1633
1216,20206,2421
1217,20037,4424
1218,20152,2472
1219,20153,4910
1220,20040,6385
1221,20041,31710
1222,20042,8385
1223,20045,7888
1224,20053,1297
1225,20046,2943
1226,20048,1433
1227,20522,1205
1228,20456,1667
1229,20060,2487
1230,20061,2893
1231,20062,498
1232,20063,4293
1233,20065,1079
1234,20069,3052
1235,20070,6416
1236,20071,3255
1237,20096,756
1238,20072,8059
1239,20097,1771
1240,20098,4233
1241,20074,456
1242,20076,3411
1243,20190,22444
1244,20078,1301
1245,20077,4370
1246,20081,1871
1247,20094,1850
1248,20080,1593
1249,20084,4168
1250,20082,4163
1251,20086,1032
1252,20083,11391
1253,20092,1776
1254,20087,5521
1255,20090,6234
1256,20091,6279
1257,20095,4562
1258,20100,393
1259,20101,748
1260,20014,28082
1261,20015,5356
1262,20102,5326
1263,20233,1720
1264,20103,6064
1265,20104,2705
1266,20105,7678
1267,20107,26282
1268,20108,2936
1269,20109,1232
1270,20110,1668
1271,20111,4873
1272,20527,2490
1273,20116,4131
1274,20114,674
1275,20172,408
1276,20115,10391
1277,20413,50862
1278,20119,735
1279,20120,449
1280,20121,596
1281,20223,440
1282,20123,2829
1283,20528,904
1284,20124,19696
1285,20122,653
1286,20126,5396
1287,20020,4847
1288,20127,1252
1289,31073,5854
1290,20128,1342
1291,20529,1474
1292,20131,11411
1293,20130,5180
1294,20132,1380
1295,20135,8231
1296,20188,9609
1297,20136,12191
1298,20137,3450
1299,20139,2195
1300,20142,842
1301,20140,812
1302,20141,8710
1303,20160,1429
1304,20143,9461
1305,20144,1075
1306,20145,5215
1307,20531,2612
1308,20196,407
1309,20146,2803
1310,20147,376
1311,20148,2182
1312,20150,13856
1313,20151,312
1314,20157,16827
1315,20248,15571
1316,20158,2233
1317,20162,2046
1318,20164,2881
1319,20176,2725
1320,20165,1629
1321,20167,2149
1322,31045,2677
1323,20530,3923
1324,20187,1808
1325,20171,18102
1326,20173,1457
1327,20174,4564
1328,20191,296
1329,20178,6692
1330,20197,3288
1331,20180,2344
1332,20204,634
1333,20181,453
1334,20480,1351
1335,20182,2181
1336,20199,494
1337,20183,1475
1338,20189,3116
1339,20192,1522
1340,20193,2807
1341,20464,341
1342,20194,1372
1343,20195,1056
1344,20200,3703
1345,20201,1880
1346,20202,4577
1347,20203,3538
1348,20210,5773
1349,20215,879
1350,20208,6941
1351,20209,607
1352,20566,3144
1353,20218,544
1354,20284,3141
1355,20222,1426
1356,20216,1241
1357,20217,3325
1358,20219,2668
1359,20221,1494
1360,20541,1558
1361,20498,7593
1362,20224,643
1363,20225,5903
1364,20016,9563
1365,20249,3831
1366,20525,12483
1367,20526,16688
1368,20226,2971
1369,20228,833
1370,20229,9148
1371,20231,3187
1372,20232,22185
1373,20234,7163
1374,20235,3829
1375,20236,1372
1376,20239,1000
1377,20244,3934
1378,20240,2749
1379,20241,1034
1380,20242,12436
1381,20243,1975
1382,20245,1324
1383,20269,4313
1384,20247,1619
1385,20250,1239
1386,20255,1977
1387,20252,2384
1388,20281,305
1389,20257,1052
1390,20258,698
1391,20259,2142
1392,20260,2191
1393,20268,1149
1394,20276,691
1395,20274,1328
1396,20532,4066
1397,20280,2011
1398,20533,2726
1399,20368,2067
1400,20282,653
1401,20052,5996
1402,20283,1044
1403,20535,3227
1404,20286,3100
1405,20285,3668
1406,20288,585
1407,20289,1214
1408,20290,1043
1409,20292,1510
1410,20380,2242
1411,20294,7035
1412,20043,113570
1413,20295,10020
1414,20538,713
1415,20296,955
1416,20297,2751
1417,20304,716
1418,20299,1125
1419,20302,4559
1420,20300,6632
1421,20308,3307
1422,20301,1594
1423,20311,483
1424,20303,1081
1425,20305,4333
1426,20321,751
1427,20332,373
1428,20319,972
1429,20307,9735
1430,20312,11279
1431,20313,730
1432,20314,1755
1433,20079,84438
1434,20331,982
1435,20315,1899
1436,20316,738
1437,20207,19032
1438,20317,1257
1439,20356,2179
1440,20320,706
1441,20322,786
1442,26044,365
1443,26036,33049
1444,26013,1825
1445,20323,2404
1446,20325,11930
1447,20326,5052
1448,20328,1441
1449,20335,867
1450,20336,1697
1451,20339,4353
1452,20340,1747
1453,20341,241
1454,20342,4105
1455,20343,1999
1456,20346,1542
1457,20345,4188
1458,20347,4202
1459,20539,6348
1460,20211,3411
1461,20212,3117
1462,20213,4203
1463,20360,3981
1464,20348,8192
1465,20349,2189
1466,20540,8326
1467,20350,16878
1468,20352,4940
1469,20353,2406
1470,20354,477
1471,20355,681
1472,20358,1958
1473,20361,825
1474,20362,1495
1475,20363,2675
1476,20369,2193
1477,20373,403
1478,20370,662
1479,20381,2940
1480,20372,1316
1481,20374,1645
1482,20293,17116
1483,20382,1182
1484,20375,13200
1485,20376,365
1486,20383,595
1487,20408,499
1488,20384,4794
1489,20386,19079
1490,20387,2891
1491,20179,1447
1492,20388,2809
1493,20411,908
1494,20390,50362
1495,20391,3375
1496,20418,11735
1497,20392,6726
1498,20393,4173
1499,20394,2796
1500,20395,1629
1501,20396,3259
1502,20397,40123
1503,20398,4874
1504,20399,41921
1505,20400,1713
1506,20402,1067
1507,20154,2329
1508,20155,1060
1509,20156,3677
1510,20106,249
1511,20198,29802
1512,20403,3751
1513,20419,592
1514,20365,1059
1515,20002,45167
1516,20006,20464
1517,20008,734
1518,20009,6857
1519,20010,13474
1520,20055,3739
1521,20405,1815
1522,20432,903
1523,20409,8939
1524,20264,2169
1525,20412,3178
1526,20414,11995
1527,20415,4878
1528,20287,307
1529,20291,4308
1530,20298,13587
1531,20385,100402
1532,20416,461
1533,20420,1679
1534,20023,26882
1535,20306,4654
1536,20310,14552
1537,20421,4690
1538,20309,10368
1539,20324,48204
1540,20337,5616
1541,20351,2802
1542,20425,2058
1543,20426,8967
1544,20427,16706
1545,20436,896
1546,20428,2224
1547,20429,1516
1548,20430,317
1549,20431,1830
1550,20021,14488
1551,20175,1424
1552,20270,1311
1553,20433,2694
1554,20452,4421
1555,20442,250
1556,20438,1839
1557,20444,481
1558,20434,3985
1559,20443,434
1560,20445,1699
1561,20448,2469
1562,20449,3294
1563,20462,4600
1564,20474,3440
1565,20453,3918
1566,20454,3556
1567,20455,2904
1568,20458,1157
1569,20461,527
1570,20465,1636
1571,20466,13880
1572,20468,14198
1573,20470,4394
1574,20471,431
1575,20472,3361
1576,26039,5774
1577,20473,1291
1578,20475,10175
1579,20478,1599
1580,20476,421
1581,20389,908
1582,20479,174
1583,20012,11166
1584,20028,23148
1585,20039,78313
1586,20064,8494
1587,20066,5342
1588,20483,10886
1589,20486,2419
1590,20093,518
1591,20113,3169
1592,20487,1966
1593,20488,130
1594,28031,1917
1595,28039,28230
1596,28038,297562
1597,28037,23673
1598,28007,16546
1599,28005,4256
1600,28032,704767
1601,28033,132484
1602,20496,1893
1603,20509,11384
1604,28021,106144
1605,20557,14542
1606,28011,8288
1607,28012,41470
1608,28027,425058
1609,20560,6467
1610,20038,1885
1611,28013,15032
1612,21080,2633
1613,21087,13308
1614,21088,4457
1615,21081,4065
1616,21083,25319
1617,21197,80591
1618,21193,6476
1619,21192,5924
1620,21215,4539
1621,21191,9871
1622,21216,2452
1623,21199,42943
1624,21198,1312
1625,21178,15977
1626,21105,5077
1627,21132,155738
1628,21171,3851
1629,21103,6644
1630,21102,14075
1631,21142,30639
1632,21101,3317
1633,21100,9310
1634,21099,20659
1635,21098,6668
1636,21001,72894
1637,21181,7425
1638,21064,17824
1639,21148,11498
1640,21063,14766
1641,21217,20335
1642,21207,57887
1643,21182,5390
1644,21201,3375
1645,21110,50226
1646,21109,20274
1647,21067,18784
1648,21147,6341
1649,21204,7926
1650,21108,19903
1651,21066,6451
1652,21167,10373
1653,21166,8918
1654,21065,22694
1655,21106,42669
1656,21055,5082
1657,21200,3443
1658,21051,37030
1659,21050,26928
1660,21096,3176
1661,21214,18359
1662,21059,2846
1663,21058,21002
1664,21057,6687
1665,21056,1317
1666,21107,11993
1667,21095,650
1668,21094,37257
1669,21093,7650
1670,21092,5293
1671,21074,90794
1672,21022,12857
1673,21025,8208
1674,21177,54757
1675,21075,13080
